Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,City,Device,Keyword,Country
CDA1000,Data Analytics Course,305,3089,485.53,31,29,0.935,9483,14-09-2024,Dubai,Desktop,data analytics course online course,UAE
CDA1001,Data Analytics Course,292,7560,259.61,13,7,0.538,735,25-07-2024,Melbourne,Desktop,data analytics course online course,Australia
CDA1002,Data Analytics Course,498,8532,383.18,26,21,0.808,8379,16-05-2024,Sharjah,Mobile,data analytics course online course,UAE
CDA1003,Data Analytics Course,284,2838,234.44,44,15,0.341,1920,07-08-2024,Montreal,Mobile,data analytics course online course,Canada
CDA1004,Data Analytics Course,471,8924,390.24,47,16,0.34,4416,04-10-2024,Ottawa,Desktop,data analytics course online course,Canada
CDA1005,Data Analytics Course,360,7094,140.9,10,7,0.7,1421,14-10-2024,Adelaide,Tablet,data analytics course online course,Australia
CDA1006,Data Analytics Course,448,8636,274.48,49,28,0.571,13020,20-11-2024,Bangalore,Tablet,data analytics course online course,India
CDA1007,Data Analytics Course,418,7446,218.64,25,6,0.24,1518,25-09-2024,Bangalore,Tablet,data analytics course online course,India
CDA1008,Data Analytics Course,336,6445,381.14,21,13,0.619,3718,11-01-2024,Calgary,Mobile,data analytics course online course,Canada
CDA1009,Data Analytics Course,173,1446,448.45,46,20,0.435,7000,21-10-2024,Los Angeles,Mobile,data analytics course online course,USA
CDA1010,Data Analytics Course,307,8205,222.65,37,7,0.189,1869,22-08-2024,Edinburgh,Desktop,data analytics course online course,UK
CDA1011,Data Analytics Course,83,3111,472.06,16,6,0.375,804,01-09-2024,Abu Dhabi,Mobile,data analytics course online course,UAE
CDA1012,Data Analytics Course,95,8876,150.43,33,18,0.545,6174,19-10-2024,Los Angeles,Desktop,data analytics course online course,USA
CDA1013,Data Analytics Course,339,3826,193.37,17,7,0.412,1498,19-11-2024,Abu Dhabi,Desktop,data analytics course online course,UAE
CDA1014,Data Analytics Course,119,2189,326.28,48,21,0.438,6468,05-08-2024,Montreal,Tablet,data analytics course online course,Canada
CDA1015,Data Analytics Course,207,1607,384.81,47,45,0.957,18135,01-05-2024,Abu Dhabi,Desktop,data analytics course online course,UAE
CDA1016,Data Analytics Course,140,2654,206.51,20,17,0.85,1768,04-04-2024,Vancouver,Tablet,data analytics course online course,Canada
CDA1017,Data Analytics Course,324,5632,335.55,49,28,0.571,6888,25-11-2024,Sydney,Tablet,data analytics course online course,Australia
CDA1018,Data Analytics Course,114,2388,316.31,43,16,0.372,7712,12-07-2024,Chicago,Mobile,data analytics course online course,USA
CDA1019,Data Analytics Course,217,9193,450.95,36,1,0.028,433,02-04-2024,San Francisco,Mobile,data analytics course online course,USA
CDA1020,Data Analytics Course,247,5146,206,48,43,0.896,21328,07-02-2024,Sydney,Desktop,data analytics course online course,Australia
CDA1021,Data Analytics Course,417,2004,103.58,35,9,0.257,2925,24-07-2024,Sharjah,Desktop,data analytics course online course,UAE
CDA1022,Data Analytics Course,207,7094,205.77,5,2,0.4,238,08-12-2024,Brisbane,Mobile,data analytics course online course,Australia
CDA1023,Data Analytics Course,417,9890,416.89,16,7,0.438,1078,17-03-2024,Toronto,Mobile,data analytics course online course,Canada
CDA1024,Data Analytics Course,431,7420,126.44,27,19,0.704,8398,16-06-2024,Boston,Mobile,data analytics course online course,USA
CDA1025,Data Analytics Course,78,3984,259.59,9,3,0.333,1038,03-12-2024,Birmingham,Desktop,data analytics course online course,UK
CDA1026,Data Analytics Course,326,3081,435.85,24,7,0.292,826,12-05-2024,Melbourne,Desktop,data analytics course online course,Australia
CDA1027,Data Analytics Course,297,9428,447.5,25,5,0.2,1070,15-01-2024,Chennai,Mobile,data analytics course online course,India
CDA1028,Data Analytics Course,79,1906,217.43,12,3,0.25,684,23-04-2024,Sydney,Tablet,data analytics course online course,Australia
CDA1029,Data Analytics Course,222,1166,364.42,21,2,0.095,434,23-08-2024,Toronto,Desktop,data analytics course online course,Canada
CDA1030,Data Analytics Course,443,1286,445.87,14,5,0.357,1545,21-02-2024,Sharjah,Desktop,data analytics course online course,UAE
CDA1031,Data Analytics Course,167,3896,275.06,27,4,0.148,1632,05-07-2024,Chicago,Mobile,data analytics course online course,USA
CDA1032,Data Analytics Course,357,9102,410.76,33,13,0.394,4901,22-04-2024,Adelaide,Desktop,data analytics course online course,Australia
CDA1033,Data Analytics Course,290,2920,311.67,46,19,0.413,2204,05-11-2024,Ottawa,Tablet,data analytics course online course,Canada
CDA1034,Data Analytics Course,369,1997,339.01,25,21,0.84,5187,14-07-2024,Abu Dhabi,Desktop,data analytics course online course,UAE
CDA1035,Data Analytics Course,472,6109,118.25,38,19,0.5,8170,20-03-2024,Leeds,Tablet,data analytics course online course,UK
CDA1036,Data Analytics Course,240,1323,346.89,18,18,1,3186,14-02-2024,London,Mobile,data analytics course online course,UK
CDA1037,Data Analytics Course,374,8678,355.64,45,7,0.156,1470,14-04-2024,Pune,Desktop,data analytics course online course,India
CDA1038,Data Analytics Course,429,3293,114.7,49,20,0.408,8100,05-08-2024,Perth,Tablet,data analytics course online course,Australia
CDA1039,Data Analytics Course,376,6038,443.92,44,39,0.886,9438,18-05-2024,Dubai,Desktop,data analytics course online course,UAE
CDA1040,Data Analytics Course,441,7877,377.57,13,3,0.231,894,23-12-2024,Bangalore,Mobile,data analytics course online course,India
